trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
4748020,1,1,"DOWNTOWN",,1,2102,shp-1-01,0,0
5171050,1,3,"DOWNTOWN",,1,1705,shp-1-01,0,0
2267020,1,1,"DOWNTOWN",,1,2302,shp-1-01,0,0
5091020,1,1,"DOWNTOWN",,1,8802,shp-1-01,0,0
1907050,1,3,"DOWNTOWN",,1,705,shp-1-01,0,0
3862050,1,3,"DOWNTOWN",,1,8005,shp-1-01,0,0
187020,1,1,"DOWNTOWN",,1,2102,shp-1-01,0,0
4527020,1,1,"DOWNTOWN",,1,6502,shp-1-02,0,0
5091050,1,3,"DOWNTOWN",,1,8805,shp-1-01,0,0
5352070,1,4,"DOWNTOWN",,1,2807,shp-1-01,0,0
125050,1,3,"DOWNTOWN",,1,1205,shp-1-01,0,0
3289070,1,4,"DOWNTOWN",,1,6707,shp-1-01,0,0
1354050,1,3,"DOWNTOWN",,1,805,shp-1-01,0,0
4700020,1,1,"DOWNTOWN",,1,1702,shp-1-01,0,0
1464020,1,1,"DOWNTOWN",,1,502,shp-1-01,0,0
3427070,1,4,"DOWNTOWN",,1,3207,shp-1-01,0,0
4705020,1,1,"DOWNTOWN",,1,1602,shp-1-01,0,0
3098020,1,1,"DOWNTOWN",,1,802,shp-1-01,0,0
2603020,1,1,"DOWNTOWN",,1,702,shp-1-01,0,0
3610050,1,3,"DOWNTOWN",,1,2505,shp-1-01,0,0
4102070,1,4,"DOWNTOWN",,1,2607,shp-1-01,0,0
1805020,1,1,"DOWNTOWN",,1,1202,shp-1-01,0,0
3127020,1,1,"DOWNTOWN",,1,2402,shp-1-01,0,0
4292020,1,1,"DOWNTOWN",,1,2502,shp-1-01,0,0
294070,1,4,"DOWNTOWN",,1,6607,shp-1-01,0,0
20010,1,2,"DOWNTOWN",,1,4201,shp-1-01,0,0
1381010,1,2,"DOWNTOWN",,1,2101,shp-1-01,0,0
4113050,1,3,"DOWNTOWN",,1,2305,shp-1-01,0,0
5263070,1,4,"DOWNTOWN",,1,2807,shp-1-01,0,0
4410020,1,1,"DOWNTOWN",,1,902,shp-1-01,0,0
4427010,1,2,"DOWNTOWN",,1,2201,shp-1-01,0,0
3862020,1,1,"DOWNTOWN",,1,8002,shp-1-01,0,0
2371010,1,2,"DOWNTOWN",,1,5601,shp-1-01,0,0
4780020,1,1,"DOWNTOWN",,1,8302,shp-1-01,0,0
4360020,1,1,"DOWNTOWN",,1,2402,shp-1-01,0,0
1464050,1,3,"DOWNTOWN",,1,505,shp-1-01,0,0
2536010,1,2,"DOWNTOWN",,1,4001,shp-1-01,0,0
4236020,1,1,"TRIANGLE TOWN CENTER",,0,2602,shp-1-52,0,0
393050,1,3,"TRIANGLE TOWN CENTER",,0,1905,shp-1-52,0,0
1586050,1,3,"TRIANGLE TOWN CENTER",,0,2705,shp-1-52,0,0
1423020,1,1,"TRIANGLE TOWN CENTER",,0,8802,shp-1-52,0,0
1096050,1,3,"TRIANGLE TOWN CENTER",,0,2305,shp-1-52,0,0
2166050,1,3,"TRIANGLE TOWN CENTER",,0,2205,shp-1-52,0,0
1373020,1,1,"TRIANGLE TOWN CENTER",,0,802,shp-1-52,0,0
1940050,1,3,"TRIANGLE TOWN CENTER",,0,1805,shp-1-52,0,0
5079050,1,3,"TRIANGLE TOWN CENTER",,0,2305,shp-1-52,0,0
1867020,1,1,"TRIANGLE TOWN CENTER",,0,8002,shp-1-52,0,0
678010,1,2,"TRIANGLE TOWN CENTER",,0,3401,shp-1-52,0,0
758020,1,1,"TRIANGLE TOWN CENTER",,0,1702,shp-1-52,0,0
1723020,1,1,"TRIANGLE TOWN CENTER",,0,4502,shp-1-52,0,0
3189070,1,4,"TRIANGLE TOWN CENTER",,0,6707,shp-1-52,0,0
5041050,1,3,"TRIANGLE TOWN CENTER",,0,2505,shp-1-52,0,0
889050,1,3,"TRIANGLE TOWN CENTER",,0,605,shp-1-52,0,0
3759050,1,3,"TRIANGLE TOWN CENTER",,0,2005,shp-1-52,0,0
2168070,1,4,"TRIANGLE TOWN CENTER",,0,6207,shp-1-52,0,0
1956010,1,2,"TRIANGLE TOWN CENTER",,0,4001,shp-1-52,0,0
3921010,1,2,"TRIANGLE TOWN CENTER",,0,6101,shp-1-52,0,0
2695070,1,4,"TRIANGLE TOWN CENTER",,0,6107,shp-1-52,0,0
2773050,1,3,"TRIANGLE TOWN CENTER",,0,2705,shp-1-52,0,0
955050,1,3,"TRIANGLE TOWN CENTER",,0,605,shp-1-52,0,0
5081020,1,1,"TRIANGLE TOWN CENTER",,0,6502,shp-1-52,0,0
5298020,1,1,"TRIANGLE TOWN CENTER",,0,2402,shp-1-52,0,0
3488010,1,2,"TRIANGLE TOWN CENTER",,0,2101,shp-1-52,0,0
5298050,1,3,"TRIANGLE TOWN CENTER",,0,2405,shp-1-52,0,0
3072020,1,1,"TRIANGLE TOWN CENTER",,0,2002,shp-1-52,0,0
3072050,1,3,"TRIANGLE TOWN CENTER",,0,2005,shp-1-52,0,0
3607050,1,3,"TRIANGLE TOWN CENTER",,0,1605,shp-1-52,0,0
889020,1,1,"TRIANGLE TOWN CENTER",,0,602,shp-1-52,0,0
481070,1,4,"TRIANGLE TOWN CENTER",,0,2907,shp-1-52,0,0
339020,1,1,"TRIANGLE TOWN CENTER",,0,1102,shp-1-52,0,0
1423050,1,3,"TRIANGLE TOWN CENTER",,0,8805,shp-1-52,0,0
3785070,1,4,"TRIANGLE TOWN CENTER",,0,2807,shp-1-52,0,0
2041020,1,1,"TRIANGLE TOWN CENTER",,0,2302,shp-1-52,0,0
924050,1,3,"TRIANGLE TOWN CENTER",,0,1005,shp-1-52,0,0
1817010,1,2,"TRIANGLE TOWN CENTER",,0,2201,shp-1-52,0,0
3730020,1,1,"TRIANGLE TOWN CENTER",,0,702,shp-1-52,0,0
5465070,1,4,"TRIANGLE TOWN CENTER",,0,2807,shp-1-52,0,0
393020,1,1,"TRIANGLE TOWN CENTER",,0,1902,shp-1-52,0,0
1651010,1,2,"TRIANGLE TOWN CENTER",,0,6101,shp-1-52,0,0
1614020,1,1,"TRIANGLE TOWN CENTER",,0,8002,shp-1-52,0,0
3730050,1,3,"TRIANGLE TOWN CENTER",,0,705,shp-1-52,0,0
104050,1,3,"TRIANGLE TOWN CENTER",,0,2505,shp-1-52,0,0
2865050,1,3,"TRIANGLE TOWN CENTER",,0,1205,shp-1-52,0,0
1940020,1,1,"TRIANGLE TOWN CENTER",,0,1802,shp-1-52,0,0
3704050,1,3,"TRIANGLE TOWN CENTER",,0,505,shp-1-52,0,0
3914070,1,4,"TRIANGLE TOWN CENTER",,0,5307,shp-1-52,0,0
4805070,1,4,"TRIANGLE TOWN CENTER",,0,4307,shp-1-52,0,0
3002050,1,3,"TRIANGLE TOWN CENTER",,0,2105,shp-1-52,0,0
4974050,1,3,"TRIANGLE TOWN CENTER",,0,2605,shp-1-52,0,0
2930070,1,4,"TRIANGLE TOWN CENTER",,0,2907,shp-1-52,0,0
3140050,1,3,"TRIANGLE TOWN CENTER",,0,1305,shp-1-52,0,0
3002020,1,1,"TRIANGLE TOWN CENTER",,0,2102,shp-1-52,0,0
3485050,1,3,"TRIANGLE TOWN CENTER",,0,2405,shp-1-52,0,0
688050,1,3,"TRIANGLE TOWN CENTER",,0,8305,shp-1-52,0,0
3365050,1,3,"TRIANGLE TOWN CENTER",,0,8405,shp-1-52,0,0
339050,1,3,"TRIANGLE TOWN CENTER",,0,1105,shp-1-52,0,0
3577020,1,1,"TRIANGLE TOWN CENTER",,0,1702,shp-1-52,0,0
3973010,1,2,"TRIANGLE TOWN CENTER",,0,2201,shp-1-52,0,0
1586020,1,1,"TRIANGLE TOWN CENTER",,0,2702,shp-1-52,0,0
3710020,1,1,"TRIANGLE TOWN CENTER",,0,2602,shp-1-52,0,0
5444020,1,1,"TRIANGLE TOWN CENTER",,0,902,shp-1-52,0,0
1387010,1,2,"TRIANGLE TOWN CENTER",,0,2501,shp-1-52,0,0
2865020,1,1,"TRIANGLE TOWN CENTER",,0,1202,shp-1-52,0,0
3607020,1,1,"TRIANGLE TOWN CENTER",,0,1602,shp-1-52,0,0
4548020,1,1,"TRIANGLE TOWN CENTER",,0,1102,shp-1-52,0,0
2814070,1,4,"TRIANGLE TOWN CENTER",,0,5707,shp-1-52,0,0
3048050,1,3,"TRIANGLE TOWN CENTER",,0,2105,shp-1-52,0,0
3485020,1,1,"TRIANGLE TOWN CENTER",,0,2402,shp-1-52,0,0
4731020,1,1,"TRIANGLE TOWN CENTER",,0,1802,shp-1-52,0,0
48050,1,3,"TRIANGLE TOWN CENTER",,0,8405,shp-1-52,0,0
1501010,1,2,"TRIANGLE TOWN CENTER",,0,2201,shp-1-52,0,0
3759020,1,1,"TRIANGLE TOWN CENTER",,0,2002,shp-1-52,0,0
4731050,1,3,"TRIANGLE TOWN CENTER",,0,1805,shp-1-52,0,0
4606010,1,2,"TRIANGLE TOWN CENTER",,0,5701,shp-1-52,0,0
2642050,1,3,"TRIANGLE TOWN CENTER",,0,505,shp-1-52,0,0
4385070,1,4,"TRIANGLE TOWN CENTER",,0,2807,shp-1-52,0,0
1976010,1,2,"TRIANGLE TOWN CENTER",,0,2201,shp-1-52,0,0
5444050,1,3,"TRIANGLE TOWN CENTER",,0,905,shp-1-52,0,0
4307070,1,4,"TRIANGLE TOWN CENTER",,0,2807,shp-1-52,0,0
104020,1,1,"TRIANGLE TOWN CENTER",,0,2502,shp-1-52,0,0
829050,1,3,"TRIANGLE TOWN CENTER",,0,2205,shp-1-52,0,0
4546010,1,2,"TRIANGLE TOWN CENTER",,0,2101,shp-1-52,0,0
4330070,1,4,"TRIANGLE TOWN CENTER",,0,7207,shp-1-52,0,0
5418050,1,3,"TRIANGLE TOWN CENTER",,0,1205,shp-1-52,0,0
5253010,1,2,"TRIANGLE TOWN CENTER",,0,3701,shp-1-52,0,0
2202050,1,3,"TRIANGLE TOWN CENTER",,0,1105,shp-1-52,0,0
3000010,1,2,"TRIANGLE TOWN CENTER",,0,4701,shp-1-52,0,0
4219010,1,2,"TRIANGLE TOWN CENTER",,0,6001,shp-1-52,0,0
3210070,1,4,"TRIANGLE TOWN CENTER",,0,3007,shp-1-52,0,0
3577050,1,3,"TRIANGLE TOWN CENTER",,0,1705,shp-1-52,0,0
48020,1,1,"TRIANGLE TOWN CENTER",,0,8402,shp-1-52,0,0
4548050,1,3,"TRIANGLE TOWN CENTER",,0,1105,shp-1-52,0,0
495070,1,4,"TRIANGLE TOWN CENTER",,0,5607,shp-1-52,0,0
686070,1,4,"TRIANGLE TOWN CENTER",,0,2807,shp-1-52,0,0
3704020,1,1,"TRIANGLE TOWN CENTER",,0,502,shp-1-52,0,0
