stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
190,8064,"Salisbury St at W Hargett St",,35.779908,-78.653943,,,,,,0
191,8065,"Gorman St at Burt Dr",,35.776931,-78.687845,,,,,,0
192,8066,"Gorman St at Marcom S",,35.779130,-78.687110,,,,,,0
193,8067,"Wake Forest Crossing Shopping Center",,35.988963,-78.529794,,,,,,0
194,8070,"W Edenton St at S McDowell St",,35.781373,-78.642213,,,,,,0
195,8071,"W Edenton St at S Harrington St",,35.781471,-78.644369,,,,,,0
196,8072,"Glenwood Ave at Hillsborough St",,35.781230,-78.647430,,,,,,0
197,8073,"Blue Ridge Rd at Rex Way",,35.819727,-78.704713,,,,,,0
198,8074,"Glenwood Ave at W Lane St",,35.784219,-78.647379,,,,,,0
199,8075,"Glenwood Ave at Tucker St",,35.786660,-78.647200,,,,,,0
200,8076,"Blue Ridge Rd at Macon Pond Rd",,35.819593,-78.704965,,,,,,0
201,8077,"Glenwood Ave at Devereux St",,35.789870,-78.647010,,,,,,0
202,8078,"Glenwood Ave at Wills Forest St (NB)",,35.791269,-78.646762,,,,,,0
203,8079,"Glenwood Ave at Washington St (NB)",,35.792841,-78.646605,,,,,,0
204,8080,"Glenwood Ave at Jefferson St",,35.795070,-78.646280,,,,,,0
205,8081,"Glenwood Ave at Cole St (NB)",,35.796708,-78.646244,,,,,,0
206,8082,"Glenwood Ave at Harvey St (NB)",,35.800467,-78.645989,,,,,,0
207,8083,"Blue Ridge Rd at Reedy Creek Rd (NC Museum of Art)",,35.810185,-78.705432,,,,,,0
208,8084,"Whitaker Mill Rd at Fairview Rd (EB)",,35.804272,-78.645064,,,,,,0
209,8085,"Whitaker Mill Rd at Sunset Dr (EB)",,35.805082,-78.642515,,,,,,0
210,8086,"Blue Ridge Rd at Reedy Creek Rd (SB)",,35.809357,-78.705754,,,,,,0
211,8087,"Blue Ridge Rd at District Dr (NB)",,35.806445,-78.706225,,,,,,0
212,8088,"Whitaker Mill Rd at Sunrise Ave",,35.806529,-78.638979,,,,,,0
213,8089,"Blue Ridge Rd at District Dr (SB)",,35.805760,-78.706689,,,,,,0
214,8090,"Whitaker Mill Rd at Pine Dr",,35.807569,-78.636293,,,,,,0
215,8091,"Barwell Rd at Berkeley Lake Rd",,35.740650,-78.542500,,,,,,0
216,8092,"Whitaker Mill Rd at Center Rd",,35.806584,-78.632507,,,,,,0
217,8093,"Barwell Rd at Neals Creek Dr",,35.740680,-78.542710,,,,,,0
218,8094,"Whitaker Mill Rd at Pershing Rd",,35.806915,-78.629233,,,,,,0
219,8095,"Whitaker Mill Rd at Hilton St",,35.807255,-78.626641,,,,,,0
220,8096,"Wake Forest Rd at Whitaker Mill Rd",,35.808067,-78.624829,,,,,,0
221,8097,"Wake Forest Rd at Mills St",,35.810392,-78.625637,,,,,,0
222,8099,"Wake Forest Rd at Hodges St (NB)",,35.815160,-78.626221,,,,,,0
223,8101,"Wake Forest Rd at Six Forks Rd (Costco)",,35.819435,-78.624020,,,,,,0
224,8102,"Barwell Rd at Barwell Park (NB)",,35.732290,-78.555140,,,,,,0
225,8103,"Wake Forest Rd at Wake Towne Dr (NB)",,35.822959,-78.622379,,,,,,0
226,8104,"Wake Forest Rd at Navaho Dr (NB)",,35.827581,-78.620088,,,,,,0
227,8105,"Barwell Rd at Barwell Park (SB)",,35.732560,-78.555190,,,,,,0
228,8106,"Poole Rd at Maybrook Dr (EB)",,35.760600,-78.552480,,,,,,0
229,8107,"Poole Rd at Maybrook Dr (WB)",,35.760730,-78.552110,,,,,,0
230,8108,"Wake Forest Rd at Dresser Ct (NB)",,35.832802,-78.617153,,,,,,0
231,8109,"Poole Rd at River Knoll Dr (EB)",,35.758150,-78.547680,,,,,,0
232,8110,"Wake Forest Rd at New Hope Church Rd",,35.837342,-78.612987,,,,,,0
233,8111,"Wake Forest Rd at Ronald Dr",,35.839142,-78.611881,,,,,,0
234,8112,"Falls of Neuse Rd at Old Wake Forest Rd (NB)",,35.841508,-78.611817,,,,,,0
235,8113,"Falls of Neuse Rd at Pacific Dr",,35.842910,-78.612930,,,,,,0
236,8114,"Poole Rd at River Knoll Dr (WB)",,35.758330,-78.547790,,,,,,0
237,8115,"Falls of Neuse Rd at Cedarhurst Dr (NB)",,35.848459,-78.614730,,,,,,0
238,8118,"Falls of Neuse Rd at Quail Ridge Rd",,35.852082,-78.614340,,,,,,0
239,8119,"Blue Ridge Rd at Westchase Blvd (SB)",,35.800711,-78.707517,,,,,,0
240,8120,"Blue Ridge Rd at Westchase Blvd (Ramada Inn)",,35.801153,-78.707259,,,,,,0
241,8121,"Falls of Neuse Rd at Fairfax Dr (NB)",,35.857220,-78.615910,,,,,,0
242,8122,"Falls of Neuse Rd at Manassas Ct (NB)",,35.859603,-78.617561,,,,,,0
243,8123,"Falls of Neuse Rd at Falls Church Rd",,35.862200,-78.619360,,,,,,0
244,8124,"Blue Ridge Rd at Trinity Rd (State Fairgrounds)",,35.797896,-78.707811,,,,,,0
245,8125,"Volant Dr at Carlos Dr",,35.864860,-78.617450,,,,,,0
246,8126,"Carlos Dr at Falls of the Neuse Rd",,35.864650,-78.618950,,,,,,0
247,8127,"Falls of Neuse Rd at Springfield Commons Dr",,35.867157,-78.620577,,,,,,0
248,8128,"Falls of Neuse Rd at Bullard Ct",,35.869164,-78.620955,,,,,,0
249,8129,"Blue Ridge Rd at Trinity Rd (NB)",,35.797941,-78.707561,,,,,,0
250,8130,"Falls of Neuse Rd at Sandy Forks Rd",,35.873200,-78.622270,,,,,,0
251,8131,"Blue Ridge Rd at Hillsborough St (SB)",,35.795587,-78.707081,,,,,,0
252,8132,"Falls of Neuse Rd at Fox Hunt Ln",,35.877170,-78.623930,,,,,,0
253,8133,"Blue Ridge Rd at Hillsborough St (NB)",,35.796166,-78.707153,,,,,,0
254,8134,"Falls of Neuse Rd at Harps Mill Rd (NB)",,35.881459,-78.625768,,,,,,0
255,8135,"Falls of Neuse Rd at Ravenscroft Dr (NB)",,35.884600,-78.626830,,,,,,0
256,8136,"Falls of Neuse Rd at Weathergreen Dr (NB)",,35.888920,-78.627362,,,,,,0
257,8137,"Mutual Ct at Strickland Rd",,35.892714,-78.628551,,,,,,0
258,8138,"Exposition Pl at Falls of Neuse Rd",,35.890668,-78.628049,,,,,,0
259,8139,"Falls of Neuse Rd at Weathergreen Dr",,35.888710,-78.627660,,,,,,0
260,8140,"Falls of Neuse Rd at Ravenscroft Dr (SB)",,35.884797,-78.627210,,,,,,0
261,8141,"Falls of Neuse Rd at Harps Mill Rd (SB)",,35.880860,-78.625700,,,,,,0
262,8142,"Falls of Neuse Rd at Lake Forest Dr",,35.876880,-78.624032,,,,,,0
263,8143,"Falls of Neuse Rd at Hunting Ridge Rd",,35.874285,-78.622864,,,,,,0
264,8144,"Falls of Neuse Rd at Spring Forest Rd",,35.869140,-78.621123,,,,,,0
265,8145,"Falls of Neuse Rd at Ridgefield Dr",,35.866000,-78.620660,,,,,,0
266,8146,"Falls of Neuse Rd at Logger Ct",,35.863540,-78.619980,,,,,,0
267,8147,"Falls of Neuse Rd at North Bend Dr",,35.861040,-78.619260,,,,,,0
268,8148,"Falls of Neuse Rd at Fairfax Dr (SB)",,35.856720,-78.615900,,,,,,0
269,8149,"Falls of Neuse Rd at Fireside Dr",,35.854370,-78.615173,,,,,,0
270,8150,"Blue Ridge Rd at Crimson Cross Ct",,35.787821,-78.703529,,,,,,0
271,8151,"Falls of Neuse Rd at E Millbrook Rd (SB)",,35.851306,-78.614493,,,,,,0
272,8152,"Falls of Neuse Rd at Cedarhurst Dr (SB)",,35.849114,-78.614789,,,,,,0
273,8153,"Falls of Neuse Rd at Pemberton Dr",,35.844670,-78.614620,,,,,,0
274,8154,"Falls of Neuse Rd at Old Wake Forest Rd (SB)",,35.841229,-78.611970,,,,,,0
275,8155,"Wake Forest Rd at Ollie St",,35.839100,-78.612120,,,,,,0
276,8156,"Wake Forest Rd at Hardimont Rd",,35.837527,-78.613047,,,,,,0
277,8157,"Wake Forest Rd at Colby Dr",,35.835790,-78.614506,,,,,,0
278,8158,"Wake Forest Rd at Dresser Ct (SB)",,35.832776,-78.617470,,,,,,0
279,8159,"Wake Forest Rd at St Albans Dr (Hilton Midtown)",,35.830049,-78.619151,,,,,,0
280,8160,"Wake Forest Rd at Navaho Dr (SB)",,35.827523,-78.620415,,,,,,0
281,8161,"Wake Forest Rd at Wake Towne Dr (SB)",,35.823563,-78.622366,,,,,,0
282,8163,"Wake Forest Rd at Six Forks Rd (Creekside Crossing",,35.818557,-78.624727,,,,,,0
